modelName,brand,rating,reviewsNumber,priceUsd,gender,soleMaterial,shaftHeight,outerMaterial,waterproof,feature,link,image
High Rise,Merrell,4.5,77,99.95,female,Rubber,Ankle,Leather,TRUE,,https://amzn.to/48IFf3e,https://m.media-amazon.com/images/I/816A9j9f3FL._AC_SX575_.jpg
Quest Element,Salomon,4.3,170,180.35,female,Rubber,Ankle,Mixed-material ,TRUE,Lightness and flexibility,https://amzn.to/3tTNGtf,https://m.media-amazon.com/images/I/71Xw+WdY2jL._AC_SX695_.jpg
Trego Alpine,Skechers,4.5,5785,77.99,female,Rubber,Ankle,Mixed-material ,TRUE,,https://amzn.to/3vDfdQf,https://m.media-amazon.com/images/I/71bl30xH3XL._AC_SX695_.jpg
Norwood,Timberland,4.5,3089,76.74,female,Rubber,Ankle,"Leather,Textile",TRUE,,https://amzn.to/4aZAP9o,https://m.media-amazon.com/images/I/815RNV29cnL._AC_SX679_.jpg
Chocorua Trail,Timberland,4.5,1693,150,female,Rubber,Ankle,"Leather,Textile",TRUE,Designed for traction and the rugged good looks of a Timberland hiker,https://amzn.to/422HSKw,https://m.media-amazon.com/images/I/915092ledvL._AC_SX695_.jpg
X Ultra Pioneer,Salomon,4.4,575,149.99,female,Rubber,Ankle,Leather,TRUE,Traditional lacing system with eyelets,https://amzn.to/47KBU1X,https://m.media-amazon.com/images/I/81S2tDUuSFL._AC_SX695_.jpg
Nxis Evo,KEEN,4.3,413,179.2,female,Rubber,Calf,Synthetic,TRUE,4mm multi direction lugs provide optimal grip for sure footing in the most rugged terrain,https://amzn.to/3vCtgFA,https://m.media-amazon.com/images/I/81gVMMIt1ML._AC_SX575_.jpg
Canyon Ii,ARIAT,4.5,1325,109.95,female,Rubber,Low-top,"Leather,Textile",FALSE,Soft premium full-grain leather,https://amzn.to/3SmWS2C,https://m.media-amazon.com/images/I/71bQ7XuG5oL._AC_SY695_.jpg
White Ledge,Timberland,4.5,6447,69.99,female,Rubber,Ankle,Suede,FALSE,,https://amzn.to/4aXDJLZ,https://m.media-amazon.com/images/I/81EPT7baspL._AC_SX575_.jpg
Moab 3,Merrell,4.8,159,13.18,female,Rubber,Calf,Mixed-material ,TRUE,,https://amzn.to/3tWnA8Q,https://m.media-amazon.com/images/I/61gadm-h2aL._AC_SX695_.jpg
Newton Ridge Plus,Columbia,4.7,21571,74.99,female,Rubber,Ankle,"Suede, Rubber",TRUE,#1 Best Seller,https://amzn.to/3SmAhmQ,https://m.media-amazon.com/images/I/61Md8OAU4gL._AC_SY695_.jpg
Targhee 2 ,KEEN,4.5,5071,154.95,female,Rubber,Ankle,Mixed-material ,TRUE,,https://amzn.to/4aY9yV0,https://m.media-amazon.com/images/I/719J5ZmnfFL._AC_SY695_.jpg
Moab 2 Mid,Merrell,4.6,8909,115,female,Rubber,Calf,"Leather, Mesh upper",TRUE,Metal hook traditional lace closure,https://amzn.to/3S2PGHx,https://m.media-amazon.com/images/I/81sVzlroylL._AC_SX695_.jpg
